"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2026-5-8","97.58","97.58","97.58","97.58","","1.47%"
"2026-5-7","96.17","96.17","96.17","96.17","","-1.47%"
"2026-5-6","97.60","97.60","97.60","97.60","","-6.64%"
"2026-5-5","104.54","104.54","104.54","104.54","","-2.24%"
"2026-5-4","106.93","106.93","106.93","106.93","","6.02%"
"2026-5-1","100.86","100.86","100.86","100.86","","-4.58%"
"2026-4-30","105.70","105.70","105.70","105.70","","0.00%"
"2026-4-29","105.69","105.69","105.69","105.69","","0.14%"
"2026-4-28","105.55","105.55","105.55","105.55","","-0.40%"
"2026-4-27","105.97","105.97","105.97","105.97","","-0.02%"
"2026-4-24","105.99","105.99","105.99","105.99","","-0.06%"
"2026-4-23","106.05","106.05","106.05","106.05","","0.91%"
"2026-4-22","105.10","105.10","105.10","105.10","","2.16%"
"2026-4-21","102.88","102.88","102.88","102.88","","1.20%"
"2026-4-20","101.65","101.65","101.65","101.65","","1.20%"
"2026-4-17","100.45","100.45","100.45","100.45","","-4.28%"
"2026-4-16","104.93","104.93","104.93","104.93","","-0.55%"
"2026-4-15","105.51","105.51","105.51","105.51","","2.43%"
"2026-4-14","103.01","103.01","103.01","103.01","","-2.39%"
"2026-4-13","105.53","105.53","105.53","105.53","","4.74%"
"2026-4-10","100.75","100.75","100.75","100.75","","-1.90%"
"2026-4-9","102.70","102.70","102.70","102.70","","-1.39%"
"2026-4-8","104.15","104.15","104.15","104.15","","-12.52%"
"2026-4-7","119.05","119.05","119.05","119.05","","-1.15%"
"2026-4-6","120.43","120.43","120.43","120.43","","2.71%"
"2026-4-3","117.25","117.25","117.25","117.25","","0.00%"
"2026-4-2","117.25","117.25","117.25","117.25","","11.53%"
"2026-4-1","105.13","105.13","105.13","105.13","","-18.21%"
"2026-3-31","128.52","128.52","128.52","128.52","","0.01%"
"2026-3-30","128.51","128.51","128.51","128.51","","0.02%"
"2026-3-27","128.49","128.49","128.49","128.49","","-1.16%"
"2026-3-26","129.99","129.99","129.99","129.99","","-0.72%"
"2026-3-25","130.93","130.93","130.93","130.93","","-1.99%"
"2026-3-24","133.60","133.60","133.60","133.60","","1.23%"
"2026-3-23","131.97","131.97","131.97","131.97","","-1.57%"
"2026-3-20","134.07","134.07","134.07","134.07","","-2.72%"
"2026-3-19","137.82","137.82","137.82","137.82","","1.03%"
"2026-3-18","136.42","136.42","136.42","136.42","","11.05%"
"2026-3-17","122.84","122.84","122.84","122.84","","-5.43%"
"2026-3-16","129.90","129.90","129.90","129.90","","1.59%"
"2026-3-13","127.86","127.86","127.86","127.86","","3.91%"
"2026-3-12","123.06","123.06","123.06","123.06","","8.37%"
"2026-3-11","113.55","113.55","113.55","113.55","","8.00%"
"2026-3-10","105.13","105.13","105.13","105.13","","-2.25%"
"2026-3-9","107.55","107.55","107.55","107.55","","8.48%"
"2026-3-6","99.14","99.14","99.14","99.14","","11.01%"
"2026-3-5","89.31","89.31","89.31","89.31","","10.11%"
"2026-3-4","81.11","81.11","81.11","81.11","","0.90%"
"2026-3-3","80.39","80.39","80.39","80.39","","5.04%"
"2026-3-2","76.53","76.53","76.53","76.53","","11.88%"
"2026-2-27","68.40","68.40","68.40","68.40","","0.10%"
"2026-2-26","68.34","68.34","68.34","68.34","","0.03%"
"2026-2-25","68.32","68.32","68.32","68.32","","0.14%"
"2026-2-24","68.23","68.23","68.23","68.23","","-0.22%"
"2026-2-23","68.38","68.38","68.38","68.38","","-0.18%"
"2026-2-20","68.50","68.50","68.50","68.50","","0.01%"
"2026-2-19","68.50","68.50","68.50","68.50","","0.64%"
"2026-2-18","68.06","68.06","68.06","68.06","","1.72%"
"2026-2-17","66.91","66.91","66.91","66.91","","-0.20%"
