日期,布伦特,迪拜,米纳斯,一揽子价格_USD_per_bbl,汇率日期,USD_CNY,汇率间隔天数,国内成本基础_CNY_per_ton
2025-02-21,75.02,78.84,75.28,76.244,2025-02-21,7.2513,0.0,4052.5232990759996
2025-02-20,76.98,78.95,75.22,77.043,2025-02-20,7.2563,0.0,4097.815396197001
2025-02-19,76.54,79.39,75.38,77.047,2025-02-19,7.2838,0.0,4113.558899938
2025-02-18,75.71,77.89,74.37,75.96199999999999,2025-02-18,7.2796,0.0,4053.2919082159997
2025-02-17,75.25,77.55,74.16,75.613,2025-02-17,7.2639,0.0,4025.967834231
2025-02-14,74.87,77.75,74.3,75.563,2025-02-14,7.254,0.0,4017.82223466
2025-02-13,75.12,76.99,73.52,75.201,2025-02-13,7.2899,0.0,4018.362953367
2025-02-12,75.85,79.04,75.25,76.627,2025-02-12,7.3091,0.0,4105.345393781
2025-02-11,77.03,79.29,75.6,77.279,2025-02-11,7.3076,0.0,4139.427069532
2025-02-10,76.13,77.99,74.36,76.157,2025-02-10,7.3052,0.0,4077.987713212
2025-02-07,74.53,77.79,74.33,75.44800000000001,2025-02-07,7.2887,0.0,4030.8977496080006
2025-02-06,75.03,77.44,74.12,75.48,2025-02-06,7.2893,0.0,4032.93934812
2025-02-05,74.83,78.41,75.2,76.015,2025-02-05,7.2728,0.0,4052.3310683600002
2025-02-04,76.37,77.45,74.37,76.094,2025-02-04,7.2514,0.0,4044.606271628
2025-02-03,76.08,79.06,75.71,76.863,2025-02-03,7.2514,0.0,4085.480745606
2025-01-31,77.05,79.9,75.14,77.33200000000001,2025-01-31,7.2514,0.0,4110.409390984
2025-01-28,77.71,81.25,75.48,78.10300000000001,2025-01-28,7.2514,0.0,4151.390170486
2025-01-27,77.91,81.58,76.49,78.58500000000001,2025-01-27,7.2514,0.0,4177.009801770001
2025-01-24,78.75,81.84,76.74,79.074,2025-01-24,7.2453,0.0,4199.465866626
2025-01-23,78.78,82.12,77.53,79.407,2025-01-23,7.2885,0.0,4242.295549935
2025-01-22,79.82,82.2,77.84,79.94,2025-01-22,7.2732,0.0,4261.80572664
2025-01-21,80.32,83.07,78.85,80.704,2025-01-21,7.2721,0.0,4301.885803072
2025-01-20,80.75,83.55,79.64,81.257,2025-01-20,7.3018,0.0,4349.052917858
2025-01-17,82.26,84.6,80.65,82.47900000000001,2025-01-17,7.3252,0.0,4428.604001964
2025-01-16,82.18,84.55,80.83,82.486,2025-01-16,7.3317,0.0,4432.9099034460005
2025-01-15,83.06,82.26,78.96,81.59,2025-01-15,7.331,0.0,4384.339005700001
2025-01-14,81.9,82.25,79.16,81.18299999999999,2025-01-14,7.3312,0.0,4362.5873743679995
2025-01-13,82.98,82.39,79.52,81.765,2025-01-13,7.332,0.0,4394.3421834
2025-01-10,80.38,77.94,75.98,78.328,2025-01-10,7.3327,0.0,4210.027468648001
2025-01-09,78.05,76.45,74.5,76.505,2025-01-09,7.3322,0.0,4111.76321413
2025-01-08,77.24,77.66,75.6,76.874,2025-01-08,7.3317,0.0,4131.313385514
2025-01-07,77.89,76.32,73.92,76.228,2025-01-07,7.3265,0.0,4093.6909598599996
2025-01-06,77.57,76.56,73.89,76.163,2025-01-06,7.3225,0.0,4087.9671497749996
