区间,区间左端,区间右端,数量,占比
"[-3.8, -3.7)",-3.8,-3.7,1,0.00847457627118644
"[-3.7, -3.6)",-3.7,-3.6,0,0.0
"[-3.6, -3.5)",-3.6,-3.5,0,0.0
"[-3.5, -3.4)",-3.5,-3.4,0,0.0
"[-3.4, -3.3)",-3.4,-3.3,0,0.0
"[-3.3, -3.2)",-3.3,-3.2,0,0.0
"[-3.2, -3.1)",-3.2,-3.1,0,0.0
"[-3.1, -3.0)",-3.1,-3.0,0,0.0
"[-3.0, -2.9)",-3.0,-2.9,0,0.0
"[-2.9, -2.8)",-2.9,-2.8,0,0.0
"[-2.8, -2.7)",-2.8,-2.7,0,0.0
"[-2.7, -2.6)",-2.7,-2.6,0,0.0
"[-2.6, -2.5)",-2.6,-2.5,0,0.0
"[-2.5, -2.4)",-2.5,-2.4,0,0.0
"[-2.4, -2.3)",-2.4,-2.3,0,0.0
"[-2.3, -2.2)",-2.3,-2.2,0,0.0
"[-2.2, -2.1)",-2.2,-2.1,0,0.0
"[-2.1, -2.0)",-2.1,-2.0,0,0.0
"[-2.0, -1.9)",-2.0,-1.9,0,0.0
"[-1.9, -1.8)",-1.9,-1.8,0,0.0
"[-1.8, -1.7)",-1.8,-1.7,1,0.00847457627118644
"[-1.7, -1.6)",-1.7,-1.6,0,0.0
"[-1.6, -1.5)",-1.6,-1.5,0,0.0
"[-1.5, -1.4)",-1.5,-1.4,0,0.0
"[-1.4, -1.3)",-1.4,-1.3,0,0.0
"[-1.3, -1.2)",-1.3,-1.2,0,0.0
"[-1.2, -1.1)",-1.2,-1.1,0,0.0
"[-1.1, -1.0)",-1.1,-1.0,0,0.0
"[-1.0, -0.9)",-1.0,-0.9,0,0.0
"[-0.9, -0.8)",-0.9,-0.8,0,0.0
"[-0.8, -0.7)",-0.8,-0.7,0,0.0
"[-0.7, -0.6)",-0.7,-0.6,1,0.00847457627118644
"[-0.6, -0.5)",-0.6,-0.5,0,0.0
"[-0.5, -0.4)",-0.5,-0.4,1,0.00847457627118644
"[-0.4, -0.3)",-0.4,-0.3,0,0.0
"[-0.3, -0.2)",-0.3,-0.2,0,0.0
"[-0.2, -0.1)",-0.2,-0.1,1,0.00847457627118644
"[-0.1, 0.0)",-0.1,0.0,0,0.0
"[0.0, 0.1)",0.0,0.1,0,0.0
"[0.1, 0.2)",0.1,0.2,2,0.01694915254237288
"[0.2, 0.3)",0.2,0.3,6,0.05084745762711865
"[0.3, 0.4)",0.3,0.4,13,0.11016949152542373
"[0.4, 0.5)",0.4,0.5,27,0.2288135593220339
"[0.5, 0.6)",0.5,0.6,16,0.13559322033898305
"[0.6, 0.7)",0.6,0.7,14,0.11864406779661017
"[0.7, 0.8)",0.7,0.8,8,0.06779661016949153
"[0.8, 0.9)",0.8,0.9,4,0.03389830508474576
"[0.9, 1.0)",0.9,1.0,2,0.01694915254237288
"[1.0, 1.1)",1.0,1.1,3,0.025423728813559324
"[1.1, 1.2)",1.1,1.2,2,0.01694915254237288
"[1.2, 1.3)",1.2,1.3,2,0.01694915254237288
"[1.3, 1.4)",1.3,1.4,2,0.01694915254237288
"[1.4, 1.5)",1.4,1.5,2,0.01694915254237288
"[1.5, 1.6)",1.5,1.6,2,0.01694915254237288
"[1.6, 1.7)",1.6,1.7,1,0.00847457627118644
"[1.7, 1.8)",1.7,1.8,0,0.0
"[1.8, 1.9)",1.8,1.9,0,0.0
"[1.9, 2.0)",1.9,2.0,0,0.0
"[2.0, 2.1)",2.0,2.1,0,0.0
"[2.1, 2.2)",2.1,2.2,1,0.00847457627118644
"[2.2, 2.3)",2.2,2.3,1,0.00847457627118644
"[2.3, 2.4)",2.3,2.4,0,0.0
"[2.4, 2.5)",2.4,2.5,0,0.0
"[2.5, 2.6)",2.5,2.6,0,0.0
"[2.6, 2.7)",2.6,2.7,0,0.0
"[2.7, 2.8)",2.7,2.8,0,0.0
"[2.8, 2.9)",2.8,2.9,0,0.0
"[2.9, 3.0)",2.9,3.0,1,0.00847457627118644
"[3.0, 3.1)",3.0,3.1,0,0.0
"[3.1, 3.2)",3.1,3.2,0,0.0
"[3.2, 3.3)",3.2,3.3,0,0.0
"[3.3, 3.4)",3.3,3.4,1,0.00847457627118644
"[3.4, 3.5)",3.4,3.5,0,0.0
"[3.5, 3.6)",3.5,3.6,0,0.0
"[3.6, 3.7)",3.6,3.7,0,0.0
"[3.7, 3.8)",3.7,3.8,0,0.0
"[3.8, 3.9)",3.8,3.9,0,0.0
"[3.9, 4.0)",3.9,4.0,0,0.0
"[4.0, 4.1)",4.0,4.1,0,0.0
"[4.1, 4.2)",4.1,4.2,0,0.0
"[4.2, 4.3)",4.2,4.3,0,0.0
"[4.3, 4.4)",4.3,4.4,0,0.0
"[4.4, 4.5)",4.4,4.5,0,0.0
"[4.5, 4.6)",4.5,4.6,1,0.00847457627118644
"[4.6, 4.7)",4.6,4.7,0,0.0
"[4.7, 4.8)",4.7,4.8,0,0.0
"[4.8, 4.9)",4.8,4.9,0,0.0
"[4.9, 5.0)",4.9,5.0,0,0.0
"[5.0, 5.1)",5.0,5.1,0,0.0
"[5.1, 5.2)",5.1,5.2,2,0.01694915254237288
"[5.2, 5.3]",5.2,5.3,0,0.0
