区间,区间左端,区间右端,数量,占比
"[-3.8, -3.7)",-3.8,-3.7,1,0.00847457627118644
"[-1.8, -1.7)",-1.8,-1.7,1,0.00847457627118644
"[-0.7, -0.6)",-0.7,-0.6,1,0.00847457627118644
"[-0.5, -0.4)",-0.5,-0.4,1,0.00847457627118644
"[-0.2, -0.1)",-0.2,-0.1,1,0.00847457627118644
"[0.1, 0.2)",0.1,0.2,2,0.01694915254237288
"[0.2, 0.3)",0.2,0.3,6,0.05084745762711865
"[0.3, 0.4)",0.3,0.4,13,0.11016949152542373
"[0.4, 0.5)",0.4,0.5,27,0.2288135593220339
"[0.5, 0.6)",0.5,0.6,16,0.13559322033898305
"[0.6, 0.7)",0.6,0.7,14,0.11864406779661017
"[0.7, 0.8)",0.7,0.8,8,0.06779661016949153
"[0.8, 0.9)",0.8,0.9,4,0.03389830508474576
"[0.9, 1.0)",0.9,1.0,2,0.01694915254237288
"[1.0, 1.1)",1.0,1.1,3,0.025423728813559324
"[1.1, 1.2)",1.1,1.2,2,0.01694915254237288
"[1.2, 1.3)",1.2,1.3,2,0.01694915254237288
"[1.3, 1.4)",1.3,1.4,2,0.01694915254237288
"[1.4, 1.5)",1.4,1.5,2,0.01694915254237288
"[1.5, 1.6)",1.5,1.6,2,0.01694915254237288
"[1.6, 1.7)",1.6,1.7,1,0.00847457627118644
"[2.1, 2.2)",2.1,2.2,1,0.00847457627118644
"[2.2, 2.3)",2.2,2.3,1,0.00847457627118644
"[2.9, 3.0)",2.9,3.0,1,0.00847457627118644
"[3.3, 3.4)",3.3,3.4,1,0.00847457627118644
"[4.5, 4.6)",4.5,4.6,1,0.00847457627118644
"[5.1, 5.2)",5.1,5.2,2,0.01694915254237288
