区间,区间左端,区间右端,数量,占比
"[-17.9, -17.8)",-17.9,-17.8,1,0.0034129692832764505
"[-10.2, -10.1)",-10.2,-10.1,1,0.0034129692832764505
"[-6.3, -6.2)",-6.3,-6.2,1,0.0034129692832764505
"[-6.1, -6.0)",-6.1,-6.0,1,0.0034129692832764505
"[-2.3, -2.2)",-2.3,-2.2,1,0.0034129692832764505
"[-2.1, -2.0)",-2.1,-2.0,1,0.0034129692832764505
"[-1.6, -1.5)",-1.6,-1.5,1,0.0034129692832764505
"[-1.5, -1.4)",-1.5,-1.4,1,0.0034129692832764505
"[-1.2, -1.1)",-1.2,-1.1,1,0.0034129692832764505
"[-1.1, -1.0)",-1.1,-1.0,1,0.0034129692832764505
"[-0.8, -0.7)",-0.8,-0.7,1,0.0034129692832764505
"[-0.6, -0.5)",-0.6,-0.5,1,0.0034129692832764505
"[-0.5, -0.4)",-0.5,-0.4,2,0.006825938566552901
"[-0.2, -0.1)",-0.2,-0.1,1,0.0034129692832764505
"[0.0, 0.1)",0.0,0.1,9,0.030716723549488054
"[0.1, 0.2)",0.1,0.2,5,0.017064846416382253
"[0.2, 0.3)",0.2,0.3,20,0.06825938566552901
"[0.3, 0.4)",0.3,0.4,38,0.1296928327645051
"[0.4, 0.5)",0.4,0.5,68,0.23208191126279865
"[0.5, 0.6)",0.5,0.6,39,0.13310580204778158
"[0.6, 0.7)",0.6,0.7,20,0.06825938566552901
"[0.7, 0.8)",0.7,0.8,23,0.07849829351535836
"[0.8, 0.9)",0.8,0.9,12,0.040955631399317405
"[0.9, 1.0)",0.9,1.0,9,0.030716723549488054
"[1.0, 1.1)",1.0,1.1,3,0.010238907849829351
"[1.1, 1.2)",1.1,1.2,3,0.010238907849829351
"[1.2, 1.3)",1.2,1.3,3,0.010238907849829351
"[1.3, 1.4)",1.3,1.4,4,0.013651877133105802
"[1.4, 1.5)",1.4,1.5,2,0.006825938566552901
"[1.5, 1.6)",1.5,1.6,3,0.010238907849829351
"[1.6, 1.7)",1.6,1.7,4,0.013651877133105802
"[1.9, 2.0)",1.9,2.0,1,0.0034129692832764505
"[2.0, 2.1)",2.0,2.1,1,0.0034129692832764505
"[2.1, 2.2)",2.1,2.2,1,0.0034129692832764505
"[2.3, 2.4)",2.3,2.4,1,0.0034129692832764505
"[2.5, 2.6)",2.5,2.6,2,0.006825938566552901
"[2.7, 2.8)",2.7,2.8,1,0.0034129692832764505
"[3.0, 3.1)",3.0,3.1,1,0.0034129692832764505
"[3.9, 4.0)",3.9,4.0,1,0.0034129692832764505
"[4.0, 4.1)",4.0,4.1,1,0.0034129692832764505
"[5.2, 5.3)",5.2,5.3,1,0.0034129692832764505
"[12.7, 12.8)",12.7,12.8,1,0.0034129692832764505
"[24.1, 24.2)",24.1,24.2,1,0.0034129692832764505
