调整日期,汽油价格真实值_CNY_per_ton,汽油涨跌真实值_CNY_per_ton,计算日汇率_USD_CNY,理论国内成本_USD_per_bbl_本期10工作日均值,理论国内成本_USD_per_bbl_上期10工作日均值,理论国内成本_CNY_per_ton_本期10工作日均值,理论国内成本_CNY_per_ton_上期10工作日均值,理论国内成本_CNY_per_ton_涨跌值,汽油价格变化率,理论国内成本_CNY_per_ton_变化率,汽油变化率_理论国内成本CNY变化率比值,匹配成本日期,10工作日窗口开始日期,10工作日窗口结束日期,油价区间,上期油价区间,理论调幅方向,传递系数_实际调幅除以理论调幅,同向调价,理论调幅绝对值_CNY_per_ton,实际是否未调,实际是否有调价,门槛规则观察判断
2024-11-07,8500.0,-145.0,7.1416,73.12800000000001,74.23769999999999,3828.099278784001,3874.3814516858993,-46.28217290189832,-0.0167727009832272,-0.0119456933910725,1.4040793141201924,2024-11-07,2024-10-24,2024-11-07,40-80,40-80,下跌,3.13295575614715,True,46.28217290189832,False,True,不符合或受累积机制影响：理论调幅<50但实际有调价
2024-07-26,9185.0,-145.0,7.2697,84.9153,86.0293,4524.8731844853,4572.064313157601,-47.19112867230069,-0.0155412647374062,-0.0103216239842673,1.5056995644381956,2024-07-19,2024-07-08,2024-07-19,80-130,80-130,下跌,3.0726114013269874,True,47.19112867230069,False,True,不符合或受累积机制影响：理论调幅<50但实际有调价
2024-01-18,8780.0,-50.0,7.1963,76.4858,77.0087,4034.5402094182,4041.349963474501,-6.80975405630079,-0.0056625141562853,-0.0016850196389441,3.360503358781889,2024-01-18,2024-01-05,2024-01-18,40-80,40-80,下跌,7.342409077716548,True,6.80975405630079,False,True,不符合或受累积机制影响：理论调幅<50但实际有调价
2023-10-25,9580.0,-70.0,7.3173,89.4284,89.6299,4796.5645815756,4796.0720178167,0.4925637588994505,-0.0072538860103626,0.0001027014934449,-70.63077436407508,2023-10-25,2023-10-12,2023-10-25,80-130,80-130,上涨,-142.1135817145846,False,0.4925637588994505,False,True,不符合或受累积机制影响：理论调幅<50但实际有调价
2023-08-24,9350.0,55.0,7.2792,84.6297,84.4092,4515.5476347192,4465.916889048,49.6307456712002,0.0059171597633136,0.0111132264446998,0.5324430121853307,2023-08-24,2023-08-11,2023-08-24,80-130,80-130,上涨,1.1081840350409138,True,49.6307456712002,False,True,不符合或受累积机制影响：理论调幅<50但实际有调价
2023-06-14,8555.0,-55.0,7.1638,72.8018,73.4932,3822.8701303772,3831.1094579252,-8.239327547999892,-0.0063879210220673,-0.0021506374689858,2.970245387326818,2023-06-14,2023-05-31,2023-06-14,40-80,40-80,下跌,6.675302041287499,True,8.239327547999892,False,True,不符合或受累积机制影响：理论调幅<50但实际有调价
2023-01-18,8725.0,-205.0,6.7485,76.7756,76.0086,3797.820601278,3838.0469601744,-40.22635889640014,-0.022956326987682,-0.0104809449477325,2.190291724855247,2023-01-18,2023-01-05,2023-01-18,40-80,40-80,下跌,5.096160965698177,True,40.22635889640014,False,True,不符合或受累积机制影响：理论调幅<50但实际有调价
2023-01-04,8930.0,250.0,6.8888,76.0086,74.7957,3838.0469601744,3816.8789474739,21.168012700500185,0.0288018433179724,0.0055458957414695,5.193361841010805,2023-01-04,2022-12-19,2023-01-04,40-80,40-80,上涨,11.810272581426252,True,21.168012700500185,False,True,不符合或受累积机制影响：理论调幅<50但实际有调价
2022-01-01,8130.0,140.0,6.3561,73.8666,72.8805,3441.4606275858,3406.042035627,35.418591958800334,0.0175219023779724,0.0103987536232155,1.6850002426112214,2021-12-31,2021-12-16,2021-12-31,40-80,40-80,上涨,3.9527263015664484,True,35.418591958800334,False,True,不符合或受累积机制影响：理论调幅<50但实际有调价
2021-01-30,6905.0,75.0,6.4277,54.9316,54.2218,2588.1045861956004,2575.8064463346,12.298139861000436,0.0109809663250366,0.0047744813584502,2.29992862064518,2021-01-29,2021-01-18,2021-01-29,40-80,40-80,上涨,6.098483254190188,True,12.298139861000436,False,True,不符合或受累积机制影响：理论调幅<50但实际有调价
2021-01-01,6645.0,90.0,6.5267,50.7334,49.9504,2427.1219274474,2393.6535378432,33.46838960420018,0.0137299771167047,0.0139821361258307,0.9819656305119098,2020-12-31,2020-12-16,2020-12-31,40-80,40-80,上涨,2.6891045868757684,True,33.46838960420018,False,True,不符合或受累积机制影响：理论调幅<50但实际有调价
