区间,区间左端,区间右端,数量,占比
"[-2.3, -2.2)",-2.3,-2.2,1,0.00847457627118644
"[-0.5, -0.4)",-0.5,-0.4,1,0.00847457627118644
"[-0.2, -0.1)",-0.2,-0.1,1,0.00847457627118644
"[0.1, 0.2)",0.1,0.2,1,0.00847457627118644
"[0.2, 0.3)",0.2,0.3,10,0.0847457627118644
"[0.3, 0.4)",0.3,0.4,12,0.1016949152542373
"[0.4, 0.5)",0.4,0.5,23,0.19491525423728814
"[0.5, 0.6)",0.5,0.6,20,0.1694915254237288
"[0.6, 0.7)",0.6,0.7,18,0.15254237288135594
"[0.7, 0.8)",0.7,0.8,2,0.01694915254237288
"[0.8, 0.9)",0.8,0.9,11,0.09322033898305085
"[0.9, 1.0)",0.9,1.0,1,0.00847457627118644
"[1.0, 1.1)",1.0,1.1,3,0.025423728813559324
"[1.1, 1.2)",1.1,1.2,5,0.0423728813559322
"[1.2, 1.3)",1.2,1.3,1,0.00847457627118644
"[1.5, 1.6)",1.5,1.6,2,0.01694915254237288
"[1.6, 1.7)",1.6,1.7,1,0.00847457627118644
"[1.7, 1.8)",1.7,1.8,2,0.01694915254237288
"[1.9, 2.0)",1.9,2.0,1,0.00847457627118644
"[2.3, 2.4)",2.3,2.4,1,0.00847457627118644
"[5.5, 5.6)",5.5,5.6,1,0.00847457627118644
