周期天数,数量,占比
11,1,0.004975124378109453
12,3,0.014925373134328358
13,8,0.03980099502487562
14,105,0.5223880597014925
15,22,0.10945273631840796
16,2,0.009950248756218905
17,10,0.04975124378109453
18,2,0.009950248756218905
19,3,0.014925373134328358
20,4,0.01990049751243781
21,2,0.009950248756218905
28,16,0.07960199004975124
29,3,0.014925373134328358
31,1,0.004975124378109453
32,1,0.004975124378109453
33,3,0.014925373134328358
34,3,0.014925373134328358
36,1,0.004975124378109453
42,5,0.024875621890547265
43,2,0.009950248756218905
48,1,0.004975124378109453
57,1,0.004975124378109453
103,1,0.004975124378109453
104,1,0.004975124378109453
