调整日期,上次调整日期,周期天数,汽油,汽油涨跌,国内调价幅度_CNY_per_ton,推断调价窗口数,标准窗口天数,推断等效天数,相对标准窗口偏差天数,推断类型
2026-05-09,2026-04-22,17,1.009万,↑320,320.0,1,14,14,3,标准单窗口
2026-04-22,2026-04-08,14,9770,↓555,-555.0,1,14,14,0,标准单窗口
2026-04-08,2026-03-24,15,1.032万,↑420,420.0,1,14,14,1,标准单窗口
2026-03-24,2026-03-10,14,9905,↑1160,1160.0,1,14,14,0,标准单窗口
2026-03-10,2026-02-25,13,8745,↑695,695.0,1,14,14,-1,标准单窗口
2026-02-25,2026-02-04,21,8050,↑175,175.0,2,14,28,-7,多窗口但偏离较大
2026-02-04,2026-01-21,14,7875,↑205,205.0,1,14,14,0,标准单窗口
2026-01-21,2025-12-23,29,7670,↑85,85.0,2,14,28,1,疑似跨多窗口
2025-12-23,2025-12-09,14,7585,↓170,-170.0,1,14,14,0,标准单窗口
2025-12-09,2025-11-25,14,7755,↓55,-55.0,1,14,14,0,标准单窗口
2025-11-25,2025-11-11,14,7810,↓70,-70.0,1,14,14,0,标准单窗口
2025-11-11,2025-10-28,14,7880,↑125,125.0,1,14,14,0,标准单窗口
2025-10-28,2025-10-14,14,7755,↓265,-265.0,1,14,14,0,标准单窗口
2025-10-14,2025-08-27,48,8020,↓75,-75.0,3,14,42,6,多窗口但偏离较大
2025-08-27,2025-07-16,42,8095,↓180,-180.0,3,14,42,0,疑似跨多窗口
2025-07-16,2025-07-02,14,8275,↓130,-130.0,1,14,14,0,标准单窗口
2025-07-02,2025-06-18,14,8405,↑235,235.0,1,14,14,0,标准单窗口
2025-06-18,2025-06-04,14,8170,↑260,260.0,1,14,14,0,标准单窗口
2025-06-04,2025-05-20,15,7910,↑65,65.0,1,14,14,1,标准单窗口
2025-05-20,2025-04-18,32,7845,↓230,-230.0,2,14,28,4,多窗口但偏离较大
2025-04-18,2025-04-03,15,8075,↓480,-480.0,1,14,14,1,标准单窗口
2025-04-03,2025-03-20,14,8555,↑230,230.0,1,14,14,0,标准单窗口
