调整日期,汽油,汽油涨跌,柴油,柴油涨跌
2026-05-09,1.009万,↑320,9015,↑310
2026-04-22,9770,↓555,8705,↓530
2026-04-08,1.032万,↑420,9235,↑400
2026-03-24,9905,↑1160,8835,↑1115
2026-03-10,8745,↑695,7720,↑670
2026-02-25,8050,↑175,7050,↑170
2026-02-04,7875,↑205,6880,↑195
2026-01-21,7670,↑85,6685,↑85
2025-12-23,7585,↓170,6600,↓165
2025-12-09,7755,↓55,6765,↓55
2025-11-25,7810,↓70,6820,↓65
2025-11-11,7880,↑125,6885,↑120
2025-10-28,7755,↓265,6765,↓255
2025-10-14,8020,↓75,7020,↓70
2025-08-27,8095,↓180,7090,↓175
2025-07-16,8275,↓130,7265,↓125
2025-07-02,8405,↑235,7390,↑225
2025-06-18,8170,↑260,7165,↑255
2025-06-04,7910,↑65,6910,↑60
2025-05-20,7845,↓230,6850,↓220
2025-04-18,8075,↓480,7070,↓465
2025-04-03,8555,↑230,7535,↑220
2025-03-20,8325,↓280,7315,↓270
2025-03-06,8605,↓135,7585,↓130
2025-02-20,8740,↓170,7715,↓160
2025-01-17,8910,↑340,7875,↑325
2025-01-03,8570,↑70,7550,↑70
2024-11-07,8500,↓145,7480,↓140
2024-10-24,8645,↑90,7620,↑85
2024-10-11,8555,↑140,7535,↑135
2024-09-21,8415,↓365,7400,↓350
2024-09-06,8780,↓100,7750,↓100
2024-08-09,8880,↓305,7850,↓290
2024-07-26,9185,↓145,8140,↓140
2024-07-12,9330,↑110,8280,↑105
2024-06-28,9220,↑210,8175,↑200
2024-06-14,9010,↓190,7975,↓180
2024-05-16,9200,↓235,8155,↓225
2024-04-30,9435,↓70,8380,↓70
2024-04-17,9505,↑200,8450,↑195
2024-04-02,9305,↑200,8255,↑190
2024-03-05,9105,↑125,8065,↑120
2024-02-01,8980,↑200,7945,↑200
2024-01-18,8780,↓50,7745,↓50
2024-01-04,8830,↑200,7795,↑190
2023-12-20,8630,↓415,7605,↓400
2023-12-06,9045,↓55,8005,↓50
2023-11-22,9100,↓340,8055,↓330
2023-11-08,9440,↓140,8385,↓135
2023-10-25,9580,↓70,8520,↓70
2023-10-11,9650,↓85,8590,↓80
2023-09-21,9735,↑385,8670,↑370
2023-08-24,9350,↑55,8300,↑55
2023-08-10,9295,↑240,8245,↑230
2023-07-27,9055,↑275,8015,↑260
2023-07-13,8780,↑155,7755,↑150
2023-06-29,8625,↑70,7605,↑70
2023-06-14,8555,↓55,7535,↓50
2023-05-31,8610,↑100,7585,↑95
2023-05-17,8510,↓380,7490,↓365
2023-04-29,8890,↓160,7855,↓155
2023-04-18,9050,↑550,8010,↑525
2023-04-01,8500,↓335,7485,↓320
2023-03-18,8835,↓100,7805,↓95
2023-02-04,8935,↑210,7900,↑200
2023-01-18,8725,↓205,7700,↓195
2023-01-04,8930,↑250,7895,↑240
2022-12-20,8680,↓480,7655,↓460
2022-12-06,9160,↓440,8115,↓425
2022-11-22,9600,↓175,8540,↓165
2022-11-08,9775,↑155,8705,↑150
2022-10-25,9620,↑185,8555,↑175
2022-09-22,9435,↓290,8380,↓280
2022-09-07,9725,↑190,8660,↑185
2022-08-24,9535,↓205,8475,↓200
2022-08-10,9740,↓130,8675,↓125
2022-07-27,9870,↓300,8800,↓290
2022-07-13,1.017万,↓360,9090,↓345
2022-06-29,1.053万,↓320,9435,↓310
2022-06-15,1.085万,↑390,9745,↑375
2022-05-31,1.046万,↑400,9370,↑390
2022-05-17,1.006万,↑285,8980,↑270
2022-04-29,9775,↑205,8710,↑200
2022-04-16,9570,↓545,8510,↓530
2022-04-01,1.012万,↑110,9040,↑110
2022-03-18,1万,↑750,8930,↑720
2022-03-04,9255,↑260,8210,↑255
2022-02-18,8995,↑210,7955,↑200
2022-01-30,8785,↑310,7755,↑300
2022-01-18,8475,↑345,7455,↑330
2022-01-01,8130,↑140,7125,↑135
2021-12-18,7990,↓130,6990,↓125
2021-12-04,8120,↓430,7115,↓415
2021-11-20,8550,↓95,7530,↓90
2021-10-23,8645,↑300,7620,↑290
2021-10-10,8345,↑345,7330,↑330
2021-09-19,8000,↑90,7000,↑85
2021-09-07,7910,↑140,6915,↑140
2021-08-24,7770,↓250,6775,↓245
2021-07-27,8020,↓100,7020,↓95
2021-07-13,8120,↑70,7115,↑65
2021-06-29,8050,↑225,7050,↑215
2021-06-12,7825,↑175,6835,↑170
2021-05-15,7650,↑100,6665,↑100
2021-04-29,7550,↑100,6565,↑95
2021-04-01,7450,↓225,6470,↓220
2021-03-18,7675,↑235,6690,↑230
2021-03-04,7440,↑260,6460,↑250
2021-02-19,7180,↑275,6210,↑265
2021-01-30,6905,↑75,5945,↑70
2021-01-16,6830,↑185,5875,↑180
2021-01-01,6645,↑90,5695,↑85
2020-12-18,6555,↑155,5610,↑150
2020-12-04,6400,↑250,5460,↑240
2020-11-20,6150,↑150,5220,↑145
2020-11-06,6000,↓160,5075,↓150
2020-10-23,6160,↑80,5225,↑70
2020-09-19,6080,↓315,5155,↓300
2020-08-22,6395,↑85,5455,↑80
2020-07-11,6310,↑100,5375,↑100
2020-06-29,6210,↑120,5275,↑110
2020-03-18,6090,↓1015,5165,↓975
2020-02-19,7105,↓415,6140,↓400
2020-02-05,7520,↓420,6540,↓405
2019-12-31,7940,↑235,6945,↑230
2019-12-03,7705,↑55,6715,↑50
2019-11-19,7650,↑70,6665,↑65
2019-11-05,7580,↑105,6600,↑105
2019-10-22,7475,↓150,6495,↓145
2019-09-19,7625,↑125,6640,↑125
2019-09-04,7500,↑115,6515,↑105
2019-08-21,7385,↓210,6410,↓205
2019-08-07,7595,↓80,6615,↓70
2019-07-10,7675,↑150,6685,↑140
2019-06-26,7525,↓120,6545,↓115
2019-06-12,7645,↓465,6660,↓445
2019-05-28,8110,↑50,7105,↑50
2019-05-14,8060,↓75,7055,↓75
2019-04-27,8135,↑195,7130,↑185
2019-04-13,7940,↓50,6945,↓30
2019-03-29,7990,↑80,6975,↑80
2019-03-01,7910,↑270,6895,↑260
2019-02-15,7640,↑50,6635,↑50
2019-01-29,7590,↑245,6585,↑230
2019-01-15,7345,↑105,6355,↑105
2018-12-29,7240,↓370,6250,↓355
2018-12-15,7610,↓125,6605,↓120
2018-12-01,7735,↓540,6725,↓520
2018-11-17,8275,↓510,7245,↓490
2018-11-03,8785,↓375,7735,↓365
2018-10-20,9160,↑165,8100,↑160
