"数据年月","商品编码","商品名称","第一数量","第一计量单位","第二数量","第二计量单位","美元",
"202301","27090000","石油原油及从沥青矿物提取的原油","43310090974","千克","0","?","25,953,364,622",
"202302","27090000","石油原油及从沥青矿物提取的原油","40729871056","千克","0","?","23,927,569,223",
"202303","27090000","石油原油及从沥青矿物提取的原油","52294580085","千克","0","?","30,490,045,405",
"202304","27090000","石油原油及从沥青矿物提取的原油","42210194799","千克","0","?","24,493,667,238",
"202305","27090000","石油原油及从沥青矿物提取的原油","51435743241","千克","0","?","30,419,752,419",
"202306","27090000","石油原油及从沥青矿物提取的原油","52039330232","千克","0","?","28,595,492,178",
"202307","27090000","石油原油及从沥青矿物提取的原油","43677197715","千克","0","?","24,237,711,082",
"202308","27090000","石油原油及从沥青矿物提取的原油","52790372168","千克","0","?","31,049,397,942",
"202309","27090000","石油原油及从沥青矿物提取的原油","45714545038","千克","0","?","29,092,526,235",
"202310","27090000","石油原油及从沥青矿物提取的原油","48954957150","千克","1988203","?","32,511,871,982",
"202311","27090000","石油原油及从沥青矿物提取的原油","42425229570","千克","0","?","27,539,890,573",
"202312","27090000","石油原油及从沥青矿物提取的原油","48358361191","千克","0","?","29,491,177,511",
