日期,米纳斯,来源
2026-05-07,103.06,商务部
2026-05-06,103.06,商务部
2026-05-05,103.06,商务部
2026-05-04,103.06,商务部
2026-05-01,103.06,商务部
2026-04-30,103.06,商务部
2026-04-29,103.06,商务部
2026-04-28,103.06,商务部
2026-04-27,103.06,商务部
2026-04-24,70.22,商务部
2026-04-23,70.22,商务部
2026-04-22,70.22,商务部
2026-04-21,70.22,商务部
2026-04-20,70.22,商务部
2026-04-17,70.22,商务部
2026-04-16,65.46,商务部
2026-04-15,65.46,商务部
2026-04-14,65.46,商务部
2026-04-13,65.46,商务部
2026-04-10,65.46,商务部
2026-04-09,65.46,商务部
2026-04-08,65.46,商务部
2026-04-07,65.46,商务部
2026-04-06,65.46,商务部
2026-04-03,65.46,商务部
2026-04-02,65.46,商务部
2026-04-01,65.46,商务部
2026-03-31,65.46,商务部
2026-03-27,65.46,商务部
2026-03-26,65.46,商务部
2026-03-25,65.46,商务部
2026-03-24,65.46,商务部
2026-03-23,65.46,商务部
2026-03-20,65.46,商务部
2026-03-19,65.46,商务部
2026-03-18,65.46,商务部
2026-03-17,65.46,商务部
2026-03-16,65.46,商务部
2026-03-13,65.46,商务部
2026-03-12,65.46,商务部
2026-03-11,65.46,商务部
2026-03-10,65.46,商务部
2026-03-09,65.46,商务部
2026-03-06,65.46,商务部
2026-03-05,65.46,商务部
2026-03-04,65.46,商务部
2026-03-03,65.46,商务部
2026-03-02,65.46,商务部
2026-02-27,65.46,商务部
2026-02-26,65.46,商务部
2026-02-25,61.96,商务部
2026-02-24,61.96,商务部
2026-02-23,61.96,商务部
2026-02-13,61.96,商务部
2026-02-12,61.96,商务部
2026-02-11,61.96,商务部
2026-02-10,61.96,商务部
2026-02-09,61.96,商务部
2026-02-06,61.96,商务部
2026-02-05,63.51,商务部
2026-02-04,63.51,商务部
2026-02-03,63.51,商务部
2026-02-02,63.51,商务部
2026-01-30,63.51,商务部
2026-01-29,63.51,商务部
2026-01-28,63.51,商务部
2026-01-27,63.51,商务部
2026-01-26,63.51,商务部
2026-01-23,63.51,商务部
2026-01-22,63.51,商务部
2026-01-21,63.51,商务部
2026-01-20,63.51,商务部
2026-01-19,63.51,商务部
2026-01-16,63.51,商务部
2026-01-15,63.51,商务部
2026-01-14,63.51,商务部
2026-01-13,63.51,商务部
2026-01-12,63.51,商务部
2026-01-09,63.51,商务部
2026-01-08,63.51,商务部
2026-01-07,63.51,商务部
2026-01-06,63.51,商务部
2026-01-05,63.51,商务部
2026-01-02,63.51,商务部
2025-12-31,63.51,商务部
2025-12-30,63.51,商务部
2025-12-29,63.51,商务部
2025-12-26,64.73,商务部
2025-12-25,64.73,商务部
2025-12-24,64.73,商务部
2025-12-23,64.73,商务部
2025-12-22,64.73,商务部
2025-12-19,64.73,商务部
2025-12-18,64.73,商务部
2025-12-17,64.73,商务部
2025-12-16,64.73,商务部
2025-12-15,64.73,商务部
2025-12-12,64.73,商务部
2025-12-11,64.73,商务部
2025-12-10,64.73,商务部
2025-12-09,64.73,商务部
2025-12-08,64.73,商务部
2025-12-05,64.73,商务部
2025-12-04,64.73,商务部
2025-12-03,64.73,商务部
2025-12-02,64.73,商务部
2025-12-01,64.73,商务部
2025-11-28,64.73,商务部
2025-11-27,64.73,商务部
2025-11-26,64.73,商务部
2025-11-25,64.73,商务部
