日期,WTI,布伦特,迪拜,阿曼,塔皮斯,米纳斯,杜里,辛塔,大庆,胜利,欧佩克,ESPO
73.51,71.00,76.71,73.51,73.51,76.71,76.71,73.51,73.51,73.51,73.51,76.71,68.03
73.06,70.61,76.45,73.06,73.06,76.45,76.45,73.06,73.06,73.06,73.06,76.45,66.95
74.11,71.03,77.17,74.11,74.11,77.17,77.17,74.11,74.11,74.11,74.11,77.17,64.73
73.44,72.70,-,73.44,73.44,-,-,73.44,73.44,73.44,73.44,-,64.90
74.53,73.16,77.99,74.53,74.53,77.99,77.99,74.53,74.53,74.53,74.53,77.99,64.08
74.76,72.53,78.49,74.76,74.76,78.49,78.49,74.76,74.76,74.76,74.76,78.49,64.90
-,72.73,79.38,-,-,79.38,79.38,-,-,-,-,79.38,65.15
-,72.62,-,-,-,-,-,-,-,-,-,-,65.04
75.44,73.77,79.56,75.44,75.44,79.56,79.56,75.44,75.44,75.44,75.44,79.56,64.99
76.23,73.17,-,76.23,76.23,-,-,76.23,76.23,76.23,76.23,-,65.02
73.51,71.00,76.71,73.51,73.51,76.71,76.71,73.51,73.51,73.51,73.51,76.71,68.03
73.06,70.61,76.45,73.06,73.06,76.45,76.45,73.06,73.06,73.06,73.06,76.45,66.95
74.11,71.03,77.17,74.11,74.11,77.17,77.17,74.11,74.11,74.11,74.11,77.17,64.73
73.44,72.70,-,73.44,73.44,-,-,73.44,73.44,73.44,73.44,-,64.90
74.53,73.16,77.99,74.53,74.53,77.99,77.99,74.53,74.53,74.53,74.53,77.99,64.08
74.76,72.53,78.49,74.76,74.76,78.49,78.49,74.76,74.76,74.76,74.76,78.49,64.90
-,72.73,79.38,-,-,79.38,79.38,-,-,-,-,79.38,65.15
-,72.62,-,-,-,-,-,-,-,-,-,-,65.04
75.44,73.77,79.56,75.44,75.44,79.56,79.56,75.44,75.44,75.44,75.44,79.56,64.99
76.23,73.17,-,76.23,76.23,-,-,76.23,76.23,76.23,76.23,-,65.02
76.71,74.96,-,76.71,76.71,-,-,76.71,76.71,76.71,76.71,-,65.94
77.39,74.92,80.77,77.39,77.39,80.77,80.77,77.39,77.39,77.39,77.39,80.77,65.87
77.34,75.79,80.90,77.34,77.34,80.90,80.90,77.34,77.34,77.34,77.34,80.90,66.32
78.03,75.89,81.74,78.03,78.03,81.74,81.74,78.03,78.03,78.03,78.03,81.74,66.55
78.68,-,82.17,78.68,78.68,82.17,82.17,78.68,78.68,78.68,78.68,82.17,66.78
79.28,77.88,83.11,79.28,79.28,83.11,83.11,79.28,79.28,79.28,79.28,83.11,68.53
79.75,78.68,83.15,79.75,79.75,83.15,83.15,79.75,79.75,79.75,79.75,83.15,69.65
78.37,80.04,81.66,78.37,78.37,81.66,81.66,78.37,78.37,78.37,78.37,81.66,72.47
78.56,77.50,81.25,78.56,78.56,81.25,81.25,78.56,78.56,78.56,78.56,81.25,74.41
78.88,78.82,81.72,78.88,78.88,81.72,81.72,78.88,78.88,78.88,78.88,81.72,76.00
76.22,76.57,77.94,76.22,76.22,77.94,77.94,76.22,76.22,76.22,76.22,77.94,75.43
75.06,73.92,76.13,75.06,75.06,76.13,76.13,75.06,75.06,75.06,75.06,76.13,73.90
76.14,73.32,76.93,76.14,76.14,76.93,76.93,76.14,76.14,76.14,76.14,76.93,72.89
74.87,74.25,76.07,74.87,74.87,76.07,76.07,74.87,74.87,74.87,74.87,76.07,73.63
74.96,73.56,76.18,74.96,74.96,76.18,76.18,74.96,74.96,74.96,74.96,76.18,73.49
74.78,73.96,74.93,74.78,74.78,74.93,74.93,74.78,74.78,74.78,74.78,74.93,73.24
73.63,73.13,74.93,73.63,73.63,74.93,74.93,73.63,73.63,73.63,73.63,74.93,73.25
73.68,71.72,74.59,73.68,73.68,74.59,74.59,73.68,73.68,73.68,73.68,74.59,71.98
73.12,70.99,-,73.12,73.12,-,-,73.12,73.12,73.12,73.12,-,71.55
